,Elevation,Slope,Horizontal_Distance_To_Hydrology,Vertical_Distance_To_Hydrology,Horizontal_Distance_To_Roadways,Hillshade_9am,Hillshade_Noon,Horizontal_Distance_To_Fire_Points
31392,3376,8,162,27,2778,231,226,1614
71272,3240,12,127,17,3602,186,242,1718
96693,2813,25,402,63,1383,161,192,1198
65505,3226,18,90,-1,2520,223,199,1518
104547,2678,21,120,39,1909,242,234,1466
53220,2720,9,108,7,2193,234,238,4195
15531,3041,8,210,59,6313,229,225,3343
651,2967,2,234,25,1814,216,240,2190
32661,2890,5,240,0,1842,228,234,1374
38070,2757,10,134,15,660,228,220,2274
81713,2893,8,591,38,2858,218,223,3466
68010,2861,7,30,3,1638,214,226,1205
30338,2990,22,457,174,666,223,187,765
8180,3222,5,0,0,5989,216,229,474
27717,2419,20,67,19,926,213,191,1284
52793,2913,11,150,7,2962,196,223,1615
50569,2998,10,258,39,5622,222,247,2182
92970,2585,15,30,0,1648,226,247,2809
41413,2715,8,108,18,2415,203,229,4609
116071,2952,17,212,55,3889,246,228,5243
9342,3270,9,268,30,3302,219,248,1262
113179,2507,8,150,2,960,234,236,4915
83044,3242,6,564,8,424,205,243,755
16755,3361,13,1048,122,2737,224,248,1924
72291,3380,10,524,112,3435,211,250,162
81955,2501,5,210,20,912,227,239,4668
57220,2959,6,300,20,2460,226,227,2250
70764,2685,10,277,34,495,237,225,1681
37086,3326,17,67,20,4027,202,202,977
83921,2364,8,0,0,534,199,237,1358
84199,3029,7,90,14,3392,203,232,1806
34145,2331,20,30,6,1290,177,205,201
107541,2394,28,180,64,711,137,197,524
113805,2971,12,60,4,4575,199,250,1883
87,2685,17,242,1,1443,246,226,860
43797,2925,7,201,4,2005,213,247,1762
74484,2677,7,297,54,1396,217,224,1410
34373,2781,15,150,17,1598,240,213,2024
93652,3175,11,30,0,3441,239,225,433
103339,3250,6,558,75,3207,227,228,2995
68451,2924,25,0,0,365,253,204,1597
21379,2675,24,120,40,313,249,222,499
34847,3275,10,242,-1,3985,238,229,2359
15100,2976,16,30,10,1487,190,210,1366
48391,2939,9,335,-19,4115,235,236,5768
98636,2956,4,234,10,1436,224,233,272
107061,2929,7,309,-2,4306,229,240,5784
77397,2568,9,190,33,979,209,224,2192
28863,2487,29,30,-16,426,205,247,1034
114322,2772,11,484,-18,834,224,216,2689
54761,2890,14,42,3,547,206,211,2486
111444,2866,9,395,17,2866,223,246,2603
49497,2900,14,391,-38,5372,225,248,3930
46375,2773,2,30,1,2617,223,236,1958
8230,2577,20,90,26,964,180,201,532
593,3053,7,42,0,3550,223,224,531
25543,3282,14,474,54,1832,185,223,811
79146,3165,30,537,163,785,238,228,1409
2439,3071,5,366,36,2177,213,231,1310
71581,2149,22,255,9,525,165,205,702
77549,3100,5,150,17,7023,229,231,2603
37946,2566,8,60,3,1429,226,244,1036
342,2922,8,540,124,2848,225,222,376
96499,2914,23,240,107,242,251,202,1044
24177,3014,9,124,23,3847,227,221,5501
82535,3262,15,426,93,1436,236,210,1440
93032,2694,41,180,51,1167,145,126,1831
78852,3161,9,30,2,700,201,228,1271
106265,2945,17,285,6,5796,244,232,3515
26127,2755,27,90,30,2215,249,186,331
106813,3166,12,295,38,2667,203,251,636
92053,2482,4,170,46,467,223,241,598
101048,2193,41,531,126,551,134,131,752
8968,3327,5,660,125,819,207,241,1026
100076,2949,9,30,4,2554,198,231,760
20073,2891,17,42,-2,3411,220,199,1674
111129,3313,34,134,50,2193,250,170,722
32329,2255,34,150,111,511,118,182,481
92875,2538,29,323,-52,404,247,217,1120
28153,2854,4,335,53,3462,225,234,6339
39145,2144,27,67,5,690,243,226,722
88788,2968,5,134,13,4288,226,229,1987
9418,2742,8,418,71,2430,215,224,2037
96500,3285,15,240,10,2742,187,249,633
14872,2858,10,134,16,2341,218,218,1103
51568,3215,19,240,77,1704,246,207,2598
51867,3252,17,210,46,1920,219,250,1556
66943,1990,19,124,58,120,214,195,201
82655,3239,14,30,9,1866,193,217,1760
27556,2969,17,362,56,5258,174,244,1617
49720,3053,35,362,69,277,127,169,1159
2538,2781,6,228,44,1736,202,238,2336
56540,2706,11,153,39,1180,189,234,1834
40515,2742,25,270,111,1256,206,178,1966
33531,3040,23,180,3,3129,186,254,1714
15502,2936,7,242,57,3171,202,233,2177
93631,3059,12,390,72,1744,214,250,3681
80894,2657,1,180,9,1369,220,236,6121
40611,2685,34,67,39,977,122,236,1416
98189,2983,16,633,39,2888,230,245,2348
5960,2830,11,335,158,1194,233,220,742
89564,3188,19,510,78,1024,194,254,2835
10424,3124,20,255,48,785,209,192,1622
30329,2955,20,210,13,2553,219,250,870
59276,2665,10,95,14,1824,237,232,418
32269,3296,11,240,28,3663,215,217,2142
87334,3254,15,459,55,558,185,219,1140
2037,2846,11,67,4,1282,210,217,2480
24233,3176,19,60,9,3089,249,220,1114
66616,3060,15,212,-22,1390,213,206,553
60629,2719,13,566,106,716,236,216,2669
7823,2032,30,134,111,162,181,164,417
54209,3086,16,60,14,2883,192,209,2206
53549,3255,18,180,40,1831,237,203,2320
6426,2933,14,127,23,3043,185,223,2201
6766,3136,4,691,114,2476,209,237,1350
107517,2891,11,95,37,874,214,217,569
101621,2353,32,175,91,1347,249,209,594
99813,2738,10,30,3,2372,192,236,469
24573,3237,22,450,4,2171,191,254,1041
116191,2894,16,408,75,1590,203,205,2893
49360,3011,7,404,54,424,230,240,1448
89591,2596,6,162,1,685,225,228,5638
103051,3071,6,95,4,1624,211,229,1718
31787,3169,9,424,53,1988,230,223,3037
73073,3207,7,0,0,1926,228,226,1785
109954,2808,2,360,-1,2047,223,237,2173
27882,2912,10,30,5,1945,196,245,1205
47961,3209,22,182,60,3013,179,253,931
98837,2898,25,404,103,3191,225,179,865
1219,3214,17,404,11,1543,244,232,1485
54228,3393,21,417,138,3438,187,254,721
86040,3215,12,335,33,2241,229,245,1682
103494,3174,13,379,58,2173,242,226,2922
71345,2582,6,85,12,2397,224,228,2507
31690,3156,5,162,25,3120,205,237,806
12951,2990,13,297,50,313,236,239,1471
41068,2939,8,134,20,3871,232,226,5304
80275,2741,17,108,24,420,238,239,2493
86408,2998,12,330,26,5312,211,214,6374
59366,3095,8,30,4,4002,209,225,1879
15938,2688,6,0,0,1645,217,227,1370
62174,3043,10,573,132,3086,222,247,782
66014,3156,25,390,51,2575,228,242,3359
42787,2817,4,67,1,1132,213,242,182
91140,2620,29,351,183,779,142,190,1332
15062,2909,22,300,-31,335,242,195,859
114767,3008,8,566,43,5499,223,223,5827
97940,3341,13,85,13,3654,202,214,2870
98358,3230,9,258,32,685,223,221,1277
53197,2684,16,335,32,953,235,206,1812
25918,3241,16,871,38,1690,194,209,900
75392,2651,14,242,68,1167,200,213,1006
32702,3281,11,162,13,5805,233,219,624
81676,2444,32,150,39,366,185,154,524
1820,2921,7,297,15,2346,210,228,2435
99594,2970,14,451,75,959,197,214,1842
105126,3132,22,713,-42,4147,226,187,4117
45860,3065,7,492,149,3150,201,236,2032
103368,2863,11,268,43,805,233,220,2661
96929,2784,18,108,42,2370,166,229,600
87673,3190,17,90,4,1538,246,226,1693
105650,3222,3,150,2,1842,224,234,845
110525,3165,11,258,91,4429,190,243,1215
16275,3304,8,799,29,2177,199,233,854
76432,3092,16,134,56,537,174,236,1376
44314,2995,7,638,76,5665,219,246,3842
73268,2258,36,309,173,1489,100,215,860
77696,2797,44,270,159,1495,70,206,1390
67343,2926,9,150,7,4981,235,225,3448
10963,3256,6,680,72,731,204,238,895
32685,2185,26,400,290,424,139,223,361
72205,3373,8,437,-2,3076,199,241,1888
75576,3197,7,120,38,2375,220,224,2674
77544,2841,5,0,0,3039,213,231,3038
81053,2009,38,365,158,342,144,141,912
505,3275,15,268,57,4221,175,234,1889
43409,2995,22,192,47,720,210,252,1648
8588,2627,13,67,-3,937,205,215,1683
67164,2615,14,120,-4,1237,228,211,218
56781,2924,16,573,128,2340,181,249,1766
88213,3132,15,342,94,268,244,224,1602
9541,2683,9,319,58,926,202,227,2905
29199,2972,25,270,105,6125,253,201,4156
11778,3197,23,30,10,4374,163,201,3625
18924,2968,13,30,9,3670,191,220,2490
34958,3071,11,120,4,1294,221,216,1249
69403,2330,24,484,192,706,148,233,1531
89256,2258,22,350,112,514,173,199,270
88332,2791,9,0,0,2143,229,223,2103
60884,3438,18,799,240,4832,167,237,2960
98425,2998,12,201,26,5189,226,246,6207
19537,3229,24,201,45,3294,242,231,2838
52667,2995,21,0,0,2525,199,190,1805
102833,3171,14,474,64,5770,215,209,934
104493,2944,13,424,17,2514,224,212,2430
21111,3157,11,503,22,2096,226,217,1074
85165,2872,9,216,-6,977,235,236,2557
46770,3030,14,124,19,1812,230,211,1804
2685,2862,13,134,11,3132,240,221,4262
106119,2867,4,60,2,1376,220,231,2227
89612,2502,15,0,0,1338,226,207,1473
47120,2369,12,120,50,1075,213,213,824
6316,3142,11,277,69,5467,207,251,1464
19908,3292,12,283,17,1717,219,213,4878
76886,3328,3,90,2,1302,210,238,1848
1540,2490,15,216,27,60,176,232,531
105987,3101,15,268,-4,2322,229,206,1489
43928,3212,26,242,99,1001,253,208,1871
100309,3028,7,0,0,930,212,225,1521
80450,3164,20,60,5,1507,239,238,598
85627,2988,5,537,71,5495,211,244,2773
14460,2896,26,162,95,2609,183,253,649
81702,2985,6,361,66,1767,229,237,2676
3049,3273,8,339,52,3751,219,247,2623
25197,3217,19,210,63,4593,163,238,3396
12711,2860,27,120,33,5455,251,189,4468
29619,3044,10,518,40,5633,236,227,4013
80523,2965,14,400,44,2058,210,252,2059
39596,3353,30,430,119,1830,239,169,2067
24728,3137,18,270,66,175,232,244,850
97019,3044,14,713,177,6120,189,250,3680
12346,3196,17,551,64,595,247,220,5745
109801,3252,9,480,109,4455,197,243,1127
110597,2279,28,108,-12,1319,140,196,920
54572,2148,25,60,12,339,239,233,524
53290,2308,10,30,1,192,218,218,1159
71498,3024,12,446,177,6254,237,218,3982
12662,2978,10,339,138,5340,192,232,5031
13756,2757,7,270,24,2549,231,231,5735
15818,2838,7,150,9,2947,227,226,4389
107640,2975,5,295,125,2496,215,230,2118
32268,2998,10,212,39,5581,219,248,2164
90694,3219,20,255,72,1358,193,254,4397
2989,2429,11,30,4,1707,199,221,242
62089,3386,9,283,22,1697,197,231,768
111413,3106,12,335,70,3144,195,249,603
25620,3060,14,42,7,2069,210,252,108
21417,3280,9,85,15,6321,195,233,90
19550,2873,10,180,38,2823,194,231,2089
84069,3210,12,390,77,2779,188,244,836
30777,2919,10,268,13,5421,194,245,5043
14085,2636,6,60,5,1655,230,238,339
89978,3184,22,323,80,2844,250,206,1598
115998,2720,12,418,42,2420,212,213,1681
89191,3099,14,371,40,430,211,252,1356
58080,2983,7,212,32,1317,229,239,1073
32200,2911,7,150,16,2100,206,246,711
46602,2932,14,953,137,2614,196,252,1339
55193,2282,15,42,11,661,192,213,582
59436,3113,17,0,0,1315,216,201,2524
33244,3068,1,216,0,2353,216,236,1965
106889,3142,12,175,36,3313,240,225,3197
61117,2671,23,192,79,828,216,184,1802
29827,3412,10,277,39,2340,192,233,2654
48254,2770,9,150,20,2112,198,228,2707
112010,2435,3,0,0,1150,225,238,713
14007,2863,8,175,53,2229,200,244,2603
112489,2856,24,124,32,1077,147,219,1385
78272,3031,18,1121,187,3031,193,254,1237
20097,3110,22,1050,163,3208,239,236,1900
1025,3027,6,277,4,1907,204,235,1605
102628,3004,14,256,8,1053,226,208,1637
65730,2873,16,342,75,3328,194,210,524
23024,3379,4,216,16,1660,208,239,834
80028,3213,29,481,-7,1761,189,251,3606
25743,2986,18,342,60,5322,174,247,1552
84973,2702,9,134,3,2138,230,223,7006
30170,2926,23,242,82,2347,172,193,1855
88211,3257,13,371,36,3523,219,210,3890
76715,3247,15,426,87,4050,178,233,2230
62882,2700,8,67,13,2346,233,227,1999
57794,2593,15,216,23,2571,203,208,2656
90559,3655,5,638,243,2971,213,230,1282
1592,2764,17,170,30,1019,229,201,721
92555,3275,16,242,5,3479,245,223,1231
92368,2674,11,459,130,1172,230,216,1332
101276,2941,16,95,16,1091,187,215,2250
20680,3108,5,295,0,2467,212,231,859
6184,3132,7,277,19,6615,229,241,2347
3509,3215,19,301,102,1071,243,205,1945
89685,2830,25,182,71,283,144,212,1008
82656,3131,21,134,40,4972,239,237,1516
186,3257,14,108,26,1732,219,209,2763
27168,3106,9,30,3,3120,223,220,5200
51247,3284,2,446,44,5130,217,240,845
21475,3184,8,108,11,4332,203,229,631
72638,3346,13,90,17,850,241,232,3931
16002,3112,7,175,15,1530,214,225,1283
16305,3119,17,285,38,1405,195,204,2802
31243,2482,33,60,6,644,207,241,1101
111510,3207,15,319,59,3840,178,226,2030
58573,2922,10,553,130,4480,213,219,5308
75230,2943,17,240,-16,382,241,207,967
1155,3109,13,216,42,3211,235,241,3048
19260,3173,19,532,82,3904,178,251,983
73134,2625,9,192,24,553,235,226,1350
100391,3104,26,420,168,1550,252,196,2619
11728,2714,7,258,25,2122,227,226,5644
58443,2797,27,175,118,1889,136,230,1213
25193,2852,3,0,0,5518,225,238,722
80106,3191,13,150,16,564,184,239,1324
104309,2574,32,30,15,1974,161,250,446
42869,3131,10,631,90,624,220,248,1790
24456,2925,27,42,19,2592,186,253,1797
53375,2956,5,426,24,3998,218,230,4694
1938,3209,15,655,62,2701,182,224,162
15519,3219,21,323,83,967,204,188,5167
74026,2932,10,60,1,1868,201,249,1338
97738,3131,7,90,24,569,204,230,947
38012,3261,18,594,97,2697,202,201,3427
61123,3247,21,366,109,933,188,254,4656
69601,2661,7,234,45,1158,212,226,882
28367,3449,12,0,0,2015,230,215,3238
37027,3086,5,0,0,3157,206,234,5260
77138,2660,32,127,60,2992,159,249,1354
7879,2588,14,85,20,1325,242,218,743
24635,2562,10,30,-3,2324,220,248,2126
100271,3236,15,90,15,1296,205,253,752
91959,2955,12,210,36,3759,225,214,5322
86979,2968,8,424,52,5474,202,245,3753
33560,3094,14,170,53,569,180,231,1205
90834,3150,20,589,214,1318,250,213,2400
78835,2762,12,484,105,2737,197,221,1465
60864,2937,12,693,95,2657,208,251,1692
44059,2715,19,212,17,960,171,213,2278
82484,3289,15,124,6,3395,216,205,2748
73841,2098,28,180,48,240,231,170,424
38556,3011,12,457,92,5626,204,251,3055
102089,2809,3,532,21,845,220,232,1307
18742,3210,15,256,72,1590,242,216,2646
46564,2910,13,120,8,2388,232,243,2713
75487,3679,14,1082,270,5053,209,210,3409
59693,3340,10,350,61,3546,218,249,1518
97490,2573,17,124,32,595,245,211,2230
29635,3227,2,30,1,3301,223,237,2046
93475,3146,19,162,8,1806,249,217,2055
99156,2955,10,342,-6,4187,237,228,2138
5533,3196,5,324,18,5521,223,229,2799
11562,3388,13,883,160,2280,188,224,1200
92289,2915,28,256,7,268,201,167,1518
13048,3214,14,108,9,2969,232,211,4966
72311,3001,15,408,39,5854,183,247,1825
17351,2725,5,335,36,2151,217,229,5792
8443,2998,15,450,108,5340,181,246,990
110557,3352,20,924,149,2087,182,202,553
27845,2335,8,313,-67,0,199,233,582
42960,3086,11,0,0,1348,239,224,1253
74949,2574,7,212,17,1263,230,227,4858
46769,3468,17,120,-14,1740,246,215,1765
70352,3218,18,42,6,4430,206,199,3463
59678,2752,22,60,16,3301,168,204,6006
61878,3239,14,60,7,1626,222,209,890
78394,3210,8,258,29,1678,213,223,1982
113657,3021,12,624,56,5468,219,213,5586
93227,3303,12,480,28,2477,191,226,781
108537,2207,26,573,50,642,162,250,942
39345,3229,10,201,1,3612,215,249,1620
22509,3180,13,351,62,2795,214,212,1026
78737,3195,33,757,314,1195,237,221,2856
83635,2942,14,661,144,2837,227,209,497
65954,2909,2,323,16,3957,216,234,3721
4623,2587,6,150,9,940,223,227,1507
17994,2431,28,120,43,731,247,181,1172
15654,3185,12,272,48,1489,216,213,124
82466,3319,7,532,104,2093,222,225,2274
79678,3080,15,190,3,2135,181,222,1645
41663,3255,8,85,10,5500,234,235,780
27159,3089,14,153,-7,779,239,216,1652
79218,2840,14,268,37,3421,224,209,5228
18387,3070,11,134,15,3475,237,235,782
70676,2531,10,335,9,1140,227,219,4109
58354,2949,24,228,65,4608,245,191,1889
107382,3292,4,67,1,5731,223,241,626
60007,3029,1,511,111,2980,217,240,1816
60845,2989,12,95,12,966,240,229,2186
21161,2986,13,120,-1,1215,240,234,1852
80872,2916,6,570,3,3703,222,244,4101
97613,2640,33,0,0,2581,112,219,6720
61704,3336,42,390,213,3038,241,189,3048
6767,3277,8,361,55,3755,219,247,2598
55295,2182,31,212,109,691,122,203,335
22363,2988,11,255,26,3163,224,217,6519
107162,2784,11,30,-1,3905,231,243,1243
52274,3021,5,210,30,2919,207,234,6087
41317,3325,10,212,12,1998,220,218,2040
35782,2639,15,190,24,1958,219,205,2184
37765,3257,3,210,41,626,213,234,968
25119,3325,20,342,62,1168,180,204,708
81598,2248,10,30,1,1184,236,226,706
88523,3098,31,361,102,421,144,177,2022
63357,2784,20,30,9,2066,246,203,1631
89642,3228,27,384,182,3630,254,199,2193
75497,2839,17,108,13,2469,247,223,2698
36859,2873,17,30,6,6292,171,227,4392
82780,3234,12,1072,33,4014,206,215,2436
104534,2714,17,212,15,2225,215,201,7080
92820,2726,3,162,-1,1543,215,234,4057
5601,3023,21,404,156,1804,242,198,2771
105648,3225,19,67,16,1616,233,199,2643
34468,2906,28,240,79,5590,250,186,4444
84862,3108,19,170,30,4807,213,195,3095
46122,3095,10,175,11,2995,208,221,1506
73456,2466,22,256,3,120,153,231,553
73697,2620,17,319,92,582,243,209,1592
5406,2995,10,488,76,5117,223,218,5691
27852,2787,9,124,9,2434,206,248,1989
91969,3072,21,513,143,6091,160,240,1561
85516,2619,25,90,36,1475,188,180,6651
56837,3074,11,366,59,2200,229,244,1530
80545,3066,9,297,60,1036,218,220,1320
59445,2650,13,342,3,1113,242,225,402
87280,2512,32,60,37,607,253,180,1167
6561,2898,7,361,66,808,206,246,1611
63393,2134,36,120,112,342,212,141,240
87415,2765,24,192,61,1077,150,208,2359
43279,3374,9,309,82,2714,206,248,1080
22964,2063,18,30,1,912,247,212,190
109274,3168,9,510,84,5930,207,249,2508
38625,3324,23,95,54,5773,242,192,738
57494,3046,16,90,33,540,242,233,1040
34970,2868,13,201,45,2666,237,217,2905
17169,3145,10,484,43,1731,209,219,2681
93756,2762,8,0,0,967,197,234,1626
76035,3090,6,0,0,4770,204,234,2471
112953,2906,15,258,10,5739,188,250,6280
72543,3224,26,430,70,4857,227,176,3315
49301,3279,4,618,45,577,209,238,782
63911,2514,22,192,31,537,212,187,1342
61210,3352,9,210,36,3750,199,246,1950
35206,3003,24,134,54,1383,147,227,2178
112245,3147,13,351,81,5788,189,247,2279
106644,2516,33,297,115,1112,123,184,900
61975,2989,11,342,74,2861,194,227,1471
88205,2407,4,30,0,1541,210,242,488
2584,3040,13,67,10,2696,241,232,2970
91738,2951,14,295,45,3137,186,222,1552
71491,3151,8,342,57,2323,229,241,902
86583,3183,5,242,7,4905,206,242,2423
127,2944,10,658,75,1153,231,220,1579
86955,2962,20,42,13,3990,249,223,1057
9660,3080,3,60,4,1667,218,232,767
78935,2810,15,95,14,2483,184,220,1233
40165,3230,22,256,33,3425,154,220,1922
8492,3339,18,582,190,1537,221,249,1495
9789,3059,18,212,45,4731,244,208,1879
15138,2332,3,0,0,342,223,238,1289
6815,1997,18,256,75,450,170,242,808
31060,3192,9,607,56,1040,216,220,2195
33187,2731,23,192,64,212,230,186,1825
2783,3124,15,242,6,331,244,229,2059
114012,2767,20,95,-26,1841,245,203,1590
52542,2938,7,297,66,1699,233,230,2848
8777,2938,22,361,111,1061,249,222,484
15245,3186,9,30,1,1583,194,236,607
114327,2942,13,120,23,3845,220,211,5250
85393,3180,14,258,67,990,241,216,1900
55490,3017,16,201,30,2401,224,204,1981
67632,3034,13,268,54,418,185,227,1503
92962,2003,12,323,82,540,185,236,808
34102,2412,17,108,34,671,171,239,541
7578,2397,25,210,68,150,153,245,553
63423,3115,15,1150,246,2791,223,207,1471
29451,2962,7,376,3,4648,232,237,5307
66768,3182,9,607,173,819,201,226,1978
3580,2896,18,335,70,2706,231,200,3042
101053,3070,25,459,149,3027,172,253,2311
24244,2584,14,351,86,1170,239,214,1598
22637,2915,12,365,-12,769,237,221,2362
56483,2799,24,277,103,1025,149,212,2358
107290,3044,2,42,0,3032,217,235,474
14777,2021,29,30,18,240,135,199,474
90335,3234,8,666,62,4448,226,224,2435
67591,3099,6,365,-21,2202,202,238,2451
72466,3153,9,297,57,1130,231,223,1142
42433,2964,9,595,60,778,233,225,1892
104678,2616,8,192,24,1530,225,223,4851
23722,2197,21,218,76,511,210,188,190
112922,2980,9,30,-4,1140,230,221,1740
83812,2995,9,277,58,4729,235,231,1566
43383,2567,17,210,39,1060,224,248,1182
31918,2984,21,495,146,641,240,236,1947
41502,3041,14,510,174,5948,230,245,4014
63157,2777,9,361,62,2970,211,223,1253
37688,2812,7,170,17,1786,224,224,2522
18119,3071,16,134,5,3881,230,203,693
93197,3087,14,67,7,780,220,208,854
4184,3248,19,384,93,1560,164,221,3013
14448,2464,14,30,1,1230,202,211,1661
38536,2772,3,240,38,1482,217,232,1794
110540,3075,13,379,-12,2173,184,233,674
20246,3043,9,67,-1,2702,236,233,560
62319,3167,3,300,30,2082,221,241,769
94361,2811,8,330,44,2345,235,232,1400
90059,3164,21,531,67,3679,171,202,1611
54500,2417,16,67,24,1233,176,239,828
78936,2942,13,319,10,3623,237,216,5997
31352,3207,20,1001,4,1543,170,208,959
77819,3105,14,90,20,4685,180,231,1381
98033,3079,23,655,38,1273,155,210,892
107952,2818,15,210,35,1909,236,209,1943
77939,2782,23,150,53,3436,151,221,1421
23882,3255,15,630,35,3034,209,207,834
26973,2882,17,541,87,3144,196,206,1364
67988,2994,13,457,38,1414,184,244,1442
6006,3187,13,450,70,684,230,245,2017
90086,3129,13,301,53,1050,189,223,1672
22070,2876,13,170,21,2731,182,233,2359
58757,2915,8,67,5,2135,208,248,1602
42574,2644,4,301,4,997,208,237,874
856,3276,10,153,19,4170,206,222,1634
